course_code,course_title,prereq_codes,prereq_details
ENGL 459,Writing Palestine-Israel,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 460,Business and Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 462,"Reading Black, Reading Feminist","['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 463,African American Autobiography,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 464M,Honors Seminar in English: Multicultural,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 465,Humanity in Computerized Society,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 466,African American Novel I,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 467,African American Novel II,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 468,African American Poetry,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 469,Slavery and the Literary Imagination,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 470,Rhetorical Theory and Practice,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 471,Rhetorical Traditions,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 472,Current Theories of Writing and Reading,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 473,Rhetorical Approaches to Discourse,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 474,Issues in Rhetoric and Composition,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 475,Comics Studies,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 476,Arab American Literature,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 478,Grant Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H', 'ENGL 202A', 'ENGL 202B', 'ENGL 202C', 'ENGL 202D']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'or']"
ENGL 480,Communication Design for Writers,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H', 'ENGL 202A', 'ENGL 202B', 'ENGL 202C', 'ENGL 202D']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'or', 'and', 'or']"
ENGL 481,Literary Theory:  Historical Perspectives,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 482,Contemporary Literary Theory and Practice,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 482W,Contemporary Literary and Cultural Theory,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 483,Problems in Critical Theory and Practice,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 486,The World Novel in English,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 487W,Senior Seminar,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 489,British Women Writers,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'ENGL 138T']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']"
ENGL 490,Women Writers and Their Worlds,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 491,The Capstone Course in Professional Writing,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H', 'ENGL 202A', 'ENGL 202B', 'ENGL 202C', 'ENGL 202D']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'or', 'and', 'and']"
ENGL 492,American Women Writers,"['ENGL 15', 'ENGL 15A', 'ENGL 15S', 'ENGL 15E', 'ESL 15', 'ENGL 30H', 'ENGL 30T', 'ENGL 137H', 'CAS 137H']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
ENGL 494,Senior Thesis in English,[],[]
ENGL 494H,Senior Thesis in English,[],[]
ENGL 495,Internship,[],[]
ENGL 496,Independent Studies,[],[]
ENGL 497,Special Topics,[],[]
ENGL 498,Special Topics,[],[]
ENGL 499,Foreign Study--English,[],[]
CAS 83,First-Year Seminar in Communication Arts and Sciences,[],[]
CAS 84,First-Year Seminar in Communication Arts and Sciences,[],[]
CAS 100A,Effective Speech,[],[]
CAS 100B,Effective Speech,[],[]
CAS 100C,Effective Speech,[],[]
CAS 100S,Effective Speech,[],[]
CAS 101N,Introduction to Human Communication,[],[]
CAS 137H,Rhetoric and Civic Life I,['ENGL 137H'],[]
CAS 138T,Rhetoric and Civic Life II,"['ENGL 137H', 'CAS 137H']",['or']
CAS 162N,Communicating Care,"['ENGL 162N', 'SOC 162N']",[]
CAS 170N,What is Information?,['IST 170N'],[]
CAS 175N,Persuasion and Propaganda,[],[]
CAS 182N,Communication and Sport,[],[]
CAS 195,Careers in Communication,[],[]
CAS 197,Special Topics,[],[]
CAS 199,Foreign Studies,[],[]
CAS 200,"Language, Culture, and Communication",[],[]
CAS 203,Interpersonal Communication,[],[]
CAS 204,Communication Research Methods,[],[]
CAS 206,Mediation and Communication,[],[]
CAS 208N,Introduction to Managing Conflict and Bargaining,[],[]
CAS 209,Democratic Leadership,['PLSC 209'],[]
CAS 210,Landmark Speeches on Democracy and Dissent,[],[]
CAS 212,Professional Public Speaking,[],[]
CAS 213,Persuasive Speaking,[],[]
CAS 214W,Speech Writing,"['ENGL 15', 'ENGL 30H', 'CAS 137H', 'ENGL 137H']","['or', 'or', 'or', 'or']"
CAS 215,Argumentation,[],[]
CAS 216,Practical Parliamentary Procedure,['AEE 216'],[]
CAS 220,Persuasion,[],[]
CAS 222N,Foundations: Civic and Community Engagement,"['ENGL 15', 'ENGL 30H', 'CAS 137H', 'ENGL 137H']","['or', 'or', 'or', 'or']"
CAS 232N,"Identity, Citizenship, and the Rhetoric of American Horror Film",[],[]
CAS 240N,Communication and Civility,[],[]
CAS 250,Small Group Communication,[],[]
CAS 251,"Communication, Advocacy, and Entrepreneurship",[],[]
CAS 252,Business and Professional Communication,[],[]
CAS 253,Health Communication,[],[]
CAS 255,Communicating Gender,[],[]
CAS 271N,Intercultural Communication,[],[]
CAS 272N,Political Communication and Technology,[],[]
CAS 280W,Storytelling and Speaking,[],[]
CAS 283,Communication and Information Technology I,[],[]
CAS 295,Internship,[],[]
CAS 296,Independent Studies,[],[]
CAS 296A,**SPECIAL TOPICS**,[],[]
CAS 297,Special Topics,[],[]
CAS 297G,Special Topics - GenEd,[],[]
CAS 297N,Special Topics - Inter Domain,[],[]
CAS 299,Foreign Studies,[],[]
CAS 301,Rhetorical Theory,[],[]
CAS 302,Social Influence,[],[]
CAS 303,Communication Theory,[],[]
CAS 303H,Introduction to Communication Theory- Honors,[],[]
CAS 304,Quantitative Methods for Communication Research,[],[]
CAS 311,Methods of Rhetorical Criticism,[],[]
CAS 315,Debate and Civic Life,[],[]
CAS 321,Rhetoric and Law,[],[]
CAS 352,Organizational Communication,[],[]
CAS 373,The Rhetorics of War and Peace,[],[]
CAS 375,Rhetoric and Public Controversy,[],[]
CAS 383N,Culture and Technology,[],[]
CAS 390,Qualitative Research Methods,[],[]
CAS 395,Forensics Practicum,[],[]
CAS 398,Special Topics,[],[]
CAS 399,Foreign Studies,[],[]
CAS 402,Speech and Human Behavior,[],[]
CAS 403,Interpersonal Communication Theory and Research,[],[]
CAS 404,Conflict Resolution and Negotiation,[],[]
CAS 405,Family Communication Theory and Research,[],[]
CAS 408,Interpersonal Influence,[],[]
CAS 409,Democratic Deliberation,"['PLSC 1', 'CAS 101N', 'CAS 137H', 'ENGL 137H', 'CAS 215', 'CAS 303']","['or', 'or', 'or', 'or', 'or', 'or']"
CAS 411,Rhetorical Criticism,[],[]
CAS 415,Rhetoric of Film and Television,[],[]
CAS 420,Rhetorical Theory,[],[]
CAS 421,Communication and Aging,[],[]
CAS 422,Contemporary African American Communication,[],[]
CAS 426W,Communication Ethics,"['CAS 137H', 'ENGL 137H', 'ENGL 15', 'ENGL 30H']","['and', 'or', 'or', 'or', 'or']"
CAS 438,Rhetoric of Documentary,[],[]
CAS 450W,Group Communication Theory and Research,"['CAS 137H', 'ENGL 137H', 'ENGL 15']","['and', 'or', 'or', 'or']"
CAS 452,Organizational Communication Theory and Research,"['CAS 137H', 'ENGL 137H']","['or', 'or', 'or', 'or']"
CAS 452W,Organizational Communication Theory and Research,"['CAS 137H', 'ENGL 137H', 'ENGL 15', 'ENGL 30H']","['or', 'or', 'or', 'or']"
CAS 453,Health Communication Theory and Research,[],[]
CAS 455,Topics in Gender and Communication,[],[]
CAS 460,Introduction to Honors Thesis,[],[]
CAS 470,Nonverbal Communication,[],[]
CAS 471,Intercultural Communication Theory and Research,[],[]
CAS 475,Studies in Public Address,[],[]
CAS 478,Contemporary U.S. Political Rhetoric,[],[]
CAS 483,Communication and Information Technology II,[],[]
CAS 490,Peer Tutoring for Public Speaking,"['CAS 100A', 'CAS 137H', 'ENGL 137H', 'CAS 138T', 'ENGL 138T']","['or', 'or', 'or', 'or', 'or']"
CAS 493,Undergraduate Teaching Assistantship,[],[]
CAS 494,Research Topics,[],[]
CAS 494H,Research Topics,[],[]
CAS 495,Internship,[],[]
CAS 496,Independent Studies,[],[]
CAS 496H,Introduction to Thesis Research,[],[]
CAS 497,Special Topics,[],[]
CAS 498,Special Topics,[],[]
CAS 499,Foreign Studies,[],[]
ANTH 1,Understanding Humans,[],[]
ANTH 2N,World Archaeology,[],[]
ANTH 8,"Aztec, Inca, Maya",[],[]
ANTH 9N,Rise of Civilization in the Old World,[],[]
ANTH 11,North American Archaeology,[],[]
ANTH 21,Introductory Biological Anthropology,[],[]
ANTH 22,Humans as Primates,[],[]
ANTH 40,Biocultural Evolution,[],[]
ANTH 40Q,Biocultural Evolution,[],[]
ANTH 45N,Cultural Diversity: A Global Perspective,[],[]
ANTH 45Q,Cultural Diversity: A Global Perspective,[],[]
ANTH 60N,Society and Cultures in Modern Israel,"['JST 60N', 'PLSC 60N', 'SOC 60N']",[]
ANTH 83S,First-Year Seminar in Anthropology,[],[]
ANTH 100N,Anthropology of Race and Racism,[],[]
ANTH 120,First Farmers,[],[]
ANTH 129N,Chocolate Worlds,"['HIST 129N', 'PLANT 129N']",[]
ANTH 140,Anthropology of Alcohol,[],[]
ANTH 146,Indigenous North America,[],[]
ANTH 150N,Human Nature: The Science of Extreme Altruism and Violence,['PSYCH 150N'],[]
ANTH 150Q,Human Nature: The Science of Extreme Altruism and Violence,['PSYCH 150Q'],[]
ANTH 152,Hunters and Gatherers,[],[]
ANTH 197,Special Topics,[],[]
ANTH 199,Foreign Studies,[],[]
ANTH 210N,"Anthropology, Ancestry, and You",[],[]
ANTH 216N,Sex and Evolution,[],[]
ANTH 219N,Spillover: The Anthropology of Emerging Infectious Diseases,[],[]
ANTH 220,Anthropology and Art/ifacts,[],[]
ANTH 221N,Ancient Maya: Sacred Blood & Conjured Serpent,[],[]
ANTH 222,Archaeology of Domesticated Animals,[],[]
ANTH 240N,Livelihoods and Ecosystems: Anthropological Approaches to Human-Environment Interaction,[],[]
ANTH 294,Research Project,[],[]
ANTH 296,Independent Studies,[],[]
ANTH 297,Special Topics,[],[]
ANTH 299,Foreign Studies,[],[]
ANTH 303,Race and Gender in the Americas: Latin American and Caribbean Cultures,"['AFAM 303', 'WMNST 303']",[]
ANTH 321W,Intellectual Background of Archaeology,[],[]
ANTH 395,Internship,[],[]
ANTH 399,Foreign Studies,[],[]
ANTH 401,Human Evolution: The Material Evidence,[],[]
ANTH 403,Evolution of Human Walking,[],[]
ANTH 405,Primatology,[],[]
ANTH 408,Anthropological Demography,[],[]
ANTH 410,Osteology,[],[]
ANTH 411,Skeletal Forensic Anthropology,[],[]
ANTH 412,Settlement Demography,['ANTH 21'],[]
ANTH 413,Molecular Forensic Anthropology,[],[]
ANTH 414,Microbial Insights into Anthropology,"['ANTH 21', 'ANTH 461']",['and']
ANTH 416,The Evolution of Human Mating,[],[]
ANTH 418,Medical Anthropology,[],[]
ANTH 419,Anthropology and One Health,[],[]
ANTH 420,Archaeology of the Near East,[],[]
ANTH 422,Meso-American Archaeology and Ethnography,[],[]
ANTH 423,The Evolution of American Indian Culture,[],[]
ANTH 424,Andean Ethnology and Archaeology,[],[]
ANTH 425,Zooarchaeology,[],[]
ANTH 426W,Archaeological Laboratory Analysis,[],[]
ANTH 427W,Forensic Archaeology,['ANTH 2N'],[]
ANTH 428,Archaeological Methods and Theory,[],[]
ANTH 430,Ancient Brews,['ANTH 140'],[]
ANTH 432,Environmental Archaeology,[],[]
ANTH 433,Archaeological Ethics and Law,[],[]
ANTH 434N,Black Ecologies,[],[]
ANTH 435,Ancient Economy,[],[]
ANTH 439W,Studies in Classical and Ancient Mediterranean Archaeology,[],[]
ANTH 444,The Evolution of War,[],[]
ANTH 445W,Ethnographic Film,[],[]
ANTH 446,Mating and Marriage,[],[]
ANTH 448,Ethnography of the United States,[],[]
ANTH 453,Anthropology of Religion,[],[]
ANTH 457,"Jewish Communities: Identity, Survival, and Transformation in Unexpected   Places",[],[]
ANTH 458,Ethnographic Field Methods,[],[]
ANTH 460,Human Genetics,"['ANTH 21', 'BIOL 133', 'BIOL 222', 'BIOL 230W', 'BIOL 230M', 'BIOL 322', 'BMB 251', 'BMB 251H']","['or', 'or', 'or', 'or', 'or', 'or', 'or']"
ANTH 460H,Honors Human Genetics,"['ANTH 21', 'BIOL 133', 'BIOL 222', 'BIOL 230W', 'BIOL 230M', 'BIOL 322', 'BMB 251', 'BMB 251H']","['or', 'or', 'or', 'or', 'or', 'or', 'or']"
ANTH 461,Molecular Anthropology,[],[]
ANTH 466,The Skull,[],[]
ANTH 475H,Anthropology of Food Honors,[],[]
ANTH 476W,Anthropology of Gender,[],[]
ANTH 479,"Tradition, Modernity, and Cultural Change in South Asian Societies",[],[]
ANTH 480,Anthropology Museum Studies,"['ANTH 2N', 'ANTH 45N']",['or']
ANTH 492,Intermediate Field Methods,[],[]
ANTH 493,Field Techniques,[],[]
ANTH 494,Research Project,[],[]
ANTH 494H,Research Project,[],[]
ANTH 495,Internship,[],[]
ANTH 496,Independent Studies,[],[]
ANTH 497,Special Topics,[],[]
ANTH 499,Foreign Studies,[],[]
IST 97,Special Topics,[],[]
IST 99,Foreign Studies,[],[]
IST 110,"Information, People and Technology",[],[]
IST 111,Seminar in IST,[],[]
IST 111S,Seminar in Information Sciences and Technology,[],[]
IST 130,Emerging Technologies in Popular Culture,[],[]
IST 140,Introduction to Application Development,[],[]
IST 144N,Invasion of Technology from a 21st Century Perspective,[],[]
IST 170N,What is Information?,['CAS 170N'],[]
IST 197,Special Topics,[],[]
IST 197G,Special Topics - GenEd,[],[]
IST 199,Foreign Studies,[],[]
IST 210,Organization of Data,[],[]
IST 220,Networking and Telecommunications,[],[]
IST 222H,Community Informatics,[],[]
IST 225,PC Hardware Basics,['IST 220'],[]
IST 226,Networking Essentials,['IST 220'],[]
IST 227,Network Administration,['IST 226'],[]
IST 228,Advanced Network Administration,['IST 226'],[]
IST 230,"Language, Logic, and Discrete Mathematics","['MATH 110', 'MATH 140']",['or']
IST 234N,Digital Cultures,['COMM 234N'],[]
IST 235,Gender and the Global Information Technology Sector,['WMNST 235'],[]
IST 237,Digital Entrepreneurship,"['MGMT 215', 'ENGR 310']",['or']
IST 240,Introduction to Computer Languages,"['IST 140', 'CMPSC 101', 'CMPSC 121', 'CMPSC 131']","['or', 'or', 'or', 'or']"
IST 242,Intermediate & Object-Oriented Application Development,"['IST 140', 'IST 240', 'CMPSC 121', 'CMPSC 131']","['or', 'or', 'or', 'or']"
IST 250,Introduction to Web Design and Development,[],[]
IST 256,Programming for the Web,"['IST 250', 'IST 242', 'CMPSC 122', 'CMPSC 132']","['or', 'or', 'or']"
IST 260W,Introduction to Systems Analysis and Design,"['IST 210', 'IST 220', 'ENGL 15']","['or', 'and', 'and']"
IST 261,Application Development Design Studio I,"['IST 242', 'CMPSC 221']","['or', 'or']"
IST 294,Research Project,[],[]
IST 295A,Distributed Team Project,['IST 110'],[]
IST 295B,IST Internship,['IST 110'],[]
IST 296,Independent Studies,[],[]
IST 297,Special Topics,[],[]
IST 298,Special Topics,[],[]
IST 299,Foreign Studies,[],[]
IST 310,Digital Media Metrics,['COMM 310'],[]
IST 337,Technologies for Digital Entrepreneurs,['IST 237'],[]
IST 389,Leadership and Technology for Instruction,"['IST 110', 'SRA 111']",['or']
IST 390,Introduction to Professional Development,[],[]
IST 397,Special Topics,[],[]
IST 398,Special Topics,[],[]
IST 399,Foreign Studies,[],[]
IST 402,Emerging Issues and Technologies,"['IST 210', 'IST 220']",['and']
IST 425,New Venture Creation,"['ECON 102', 'MGMT 215', 'CAS 138T', 'EMSC 100S']","['or', 'or', 'or', 'and', 'or', 'or']"
IST 426,Invention Commercialization,"['ECON 102', 'ECON 104', 'ECON 14']","['or', 'or', 'and']"
IST 431,The Information Environment,"['IST 210', 'IST 220']",['and']
IST 432,Legal and Regulatory Environment of Information Science and Technology,"['ETI 301', 'SRA 231']","['or', 'or']"
IST 437,Digital Design & Innovation,['IST 237'],[]
IST 440W,Information Sciences and Technology Integration and Problem Solving,"['ENGL 202C', 'ENGL 202D']","['or', 'and']"
IST 442,Information Technology in an International Context,['IST 110'],[]
IST 445,Globalization Trends and World Issues,[],[]
IST 450,Digital Advertising,"['COMM 310', 'IST 310', 'COMM 422']","['or', 'or']"
IST 450A,Digital Campaigns,"['COMM 450', 'IST 450']",['or']
IST 452,Legal and Regulatory Environment of Privacy and Security,['IST 432'],[]
IST 453,"Legal, Regulatory, Policy Environment of Cyber Forensics",['IST 110'],[]
IST 461,Database Management and Administration,"['IST 210', 'IST 240']",['and']
IST 489,Research Methods for the Information Sciences and Technology,['IST 110'],[]
IST 494,Research Project,[],[]
IST 494H,Honors Thesis Research,[],[]
IST 495,Internship,[],[]
IST 496,Independent Studies,[],[]
IST 497,Special Topics,[],[]
IST 498,Special Topics,[],[]
IST 499,IST 499: Foreign Studies,[],[]
ECON 14,Principles of Economics,[],[]
ECON 102,Introductory Microeconomic Analysis and Policy,[],[]
ECON 102H,Introductory Microeconomic Analysis and Policy (Honors),"['MATH 110', 'MATH 140']",['or']
ECON 104,Introductory Macroeconomic Analysis and Policy,[],[]
ECON 104H,Introductory Macroeconomic Analysis and Policy (Honors),"['MATH 110', 'MATH 140']",['or']
ECON 106,Statistical Foundations for Econometrics,['MATH 21'],[]
ECON 197,Special topics,[],[]
ECON 199,Foreign Studies,[],[]
ECON 296,Independent Studies,[],[]
ECON 297,Special Topics,[],[]
ECON 299,Foreign Studies,[],[]
ECON 302,Intermediate Microeconomic Analysis,['ECON 102'],[]
ECON 302H,Intermediate Microeconomic Analysis (Honors),"['ECON 102', 'MATH 110', 'MATH 140']","['and', 'or']"
ECON 304,Intermediate Macroeconomic Analysis,['ECON 104'],[]
ECON 304H,Intermediate Macroeconomic Analysis (Honors),"['ECON 104', 'MATH 110', 'MATH 140']","['and', 'or']"
ECON 306,Introduction to Econometrics,['ECON 106'],[]
ECON 306H,Introduction to Econometrics,"['ECON 106', 'MATH 110', 'MATH 140']","['and', 'or']"
ECON 315,Labor Economics,['ECON 102'],[]
ECON 323,Public Finance,['ECON 102'],[]
ECON 333,International Economics,"['ECON 102', 'ECON 104', 'ECON 14']","['or', 'or']"
ECON 342,Industrial Organization,['ECON 102'],[]
ECON 351,Money and Banking,['ECON 104'],[]
ECON 395,Internship,[],[]
ECON 397,Special Topics,[],[]
ECON 399,Foreign Studies,[],[]
ECON 400M,Honors Seminar in Economics,"['ECON 302', 'ECON 304']","['and', 'and', 'and']"
ECON 402,Decision Making and Strategy in Economics,"['ECON 302', 'ECON 106', 'SCM 200', 'STAT 200']","['and', 'or', 'or']"
ECON 407,Political Economy,['ECON 302'],[]
ECON 410,Economics of Labor Markets,['ECON 102'],[]
ECON 411,Behavioral Economics,"['ECON 302', 'ECON 444']",['or']
ECON 412,"Labor Economics and Labor Markets: Theory, Evidence, and Policy","['ECON 306', 'ECON 302', 'ECON 315']","['and', 'or']"
ECON 413,Economic Growth and the Challenges of World Poverty,"['ECON 304', 'ECON 471']",['and']
ECON 415,The Economics of Global Climate Change,"['ECON 302', 'ECON 306']",['and']
ECON 417,The Economics of Uncertainty,['ECON 302'],[]
ECON 422,Applying Monetary Theory and Monetary History,['ECON 302'],[]
ECON 425,Economics of Public Expenditures,"['ECON 302', 'ECON 323']",['or']
ECON 428,Environmental Economics,"['ECON 302', 'ECON 323']",['or']
ECON 429,Public Finance and Fiscal Policy,"['ECON 323', 'ECON 302', 'ECON 304']","['and', 'or']"
ECON 430,Regional Economic Analysis,"['ECON 102', 'ECON 104']",['or']
ECON 432,Urban Economics,"['ECON 302', 'ECON 323']",['or']
ECON 433,Advanced International Trade Theory and Policy,"['ECON 302', 'ECON 333']",['or']
ECON 434,International Finance and Open Economy Macroeconomics,"['ECON 304', 'ECON 333']",['or']
ECON 436,Economics of Discrimination,"['ECON 302', 'ECON 315']",['or']
ECON 437,Multinationals and the Globalization of Production,"['ECON 302', 'ECON 333']",['or']
ECON 438,Winners and Losers from Globalization,"['ECON 306', 'ECON 302', 'ECON 333']","['and', 'or']"
ECON 442,Managerial Economics,['ECON 102'],[]
ECON 443,Economics of Law and Regulation,"['ECON 302', 'ECON 342']",['or']
ECON 444,Economics of the Corporation,['ECON 302'],[]
ECON 445,Health Economics,"['ECON 302', 'ECON 315', 'ECON 323']","['or', 'or']"
ECON 447,Economics of Sports,"['ECON 302', 'ECON 306']",['or']
ECON 448,Economics of Auctions and Procurements,"['ECON 302', 'ECON 306']",['and']
ECON 449,Economics of Collusion,"['ECON 302', 'ECON 342', 'ECON 306']","['or', 'and']"
ECON 451,Monetary Theory and Policy,"['ECON 304', 'ECON 351']",['or']
ECON 452,Economics of the Financial Crisis,['ECON 304'],[]
ECON 454,Economics of Mergers,['ECON 302'],[]
ECON 460,Issues in Sports Economics,"['ECON 102', 'ECON 447', 'ECON 460']",['or']
ECON 465,Cross Sectional Econometrics,"['ECON 106', 'ECON 306']",['and']
ECON 470,International Trade and Finance,"['ECON 102', 'ECON 104']",['or']
ECON 471,Growth and Development,"['ECON 302', 'ECON 304']",['or']
ECON 472N,Russian Economic History,"['ECON 102', 'ECON 104']",['and']
ECON 474,Experimental and Behavioral Economics,"['ECON 102', 'ECON 104']",['and']
ECON 475,Migration and Development,"['ECON 306', 'ECON 302', 'ECON 304']","['and', 'or']"
ECON 479,Economics of Matching,['ECON 302'],[]
ECON 480,Mathematical Economics,"['ECON 302', 'ECON 304', 'MATH 110']","['and', 'and']"
ECON 481,Business Forecasting Techniques,"['SCM 200', 'STAT 200']",['or']
ECON 483,Economic Forecasting,['ECON 306'],[]
ECON 485,Econometric Techniques,"['ECON 102', 'ECON 104', 'SCM 200', 'STAT 200']","['or', 'and', 'or']"
ECON 489M,Honors Thesis,"['ECON 302', 'ECON 304']","['and', 'and']"
ECON 494,Research Project,[],[]
ECON 494A,Research Project,[],[]
ECON 494H,Research Project,[],[]
ECON 495,Internship,[],[]
ECON 496,Independent Studies,[],[]
ECON 497,Special Topics,[],[]
ECON 499,Foreign Study--Economics,"['ECON 102', 'ECON 104']",['and']
MUSIC 4,Film Music,[],[]
